DESCRIPTION,FA_ACCEPTED_DATE,FA_ANALYST,FA_LOCATION,LOT,MOULD_COMPOUND,PK_PACKAGE_NAME,PLAN_TRANSFER_DAY_TO_FA,PRECEDING_STRESS_OPERATION,PRECEEDING_STRESS,PROD_BASIC_TYPE,PROJ_PROJECT_NAME,PROJ_THEMA2,PROJECT_LINE,QM,STARTING_MONTH,TEMPLATE_NAME,TEST_ALREADY_IN_FA,TEST_LAB_TRACKING_NO,TESTSTATE,WIRE_DIAMETER,WIRE_MATERIAL,PRIORITY,PROJ_ID
"TC2000x-PTA

Refer to the Special PTA instructions attached under 0h PTA at MT22401H.01

Ship to Goh Jia Yi (IFAP FE QM FA PI)",,,FA SIN_PTA,ZA203375BRW,EME G630AY,PG-DSO-8-66,1/30/2023 12:00:00 AM,SPLIT,TC,G2017,Q22CZQ012_KBL976,Innovation Project DA solution CAR 1:5,DSO_PD,Ching Zai Qin (IFAP BE TS QM RQ 1),2023-01,PTA,No,MT22401H.13,READY,30µm,Cu,3,274633
"HTS1000h Q006 IPI,
pls fill in excel file for ball pull, shear & wedge pull same as  0hr IPI SI224113.02 attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,84PRT223H03 [HH],EME G750 SE,PG-BGA-416-29,1/30/2023 12:00:00 AM,SPLIT,HTSL,M4289,C65 TC29x M4289Z BGA416-29 3rd Source Substrate ZDT GCM Qual - HH,NER_2021/22_01606 ,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2023-01,IPI-Q006,No,SI224113.04,APPLY,20µm,CU-4N 20µM PD-COATED,3,276202
"TC2000x-PTA

Refer to the Special PTA instructions attached under 0h PTA at MT222417.01

Ship to Goh Jia Yi (IFAP FE QM FA PI)",,,FA SIN_PTA,ZA203375BRV,EME G630AY,PG-DSO-8-66,1/30/2023 12:00:00 AM,SPLIT,TC,G2017,Q22CZQ011_KBL975,Innovation Project DA solution CAR 1:5,DSO_PD,Ching Zai Qin (IFAP BE TS QM RQ 1),2023-01,PTA,No,MT222417.13,READY,30µm,Cu,3,263897
"Hast528h- Q006 PTA

Please ship to Dan Swee Tong (IFAP FE QM FA PI)

EVI, X-ray, CSAM - 11 units. 
IVI Decap - 4 units.
Ball Pull - 4 units 
Ball Shear - 4 units
Stitch Pull - 4 units
Ball bond cross-sec - 1 unit
Stitch cross-sec - 1 unit from CSAM. 
",,,FA SIN_PTA,1E234572B04,G700LS,PG-DSO-8-62,1/30/2023 12:00:00 AM,SPLIT,HAST_264,S2710,Q22SY012_ATI352,AFP_S2710A_DOPL_Transfer_DSO8_ATP1,OSP,Chua Su Ya (IFAP BE TS QM RQ 3),2023-01,PTA-Q006,No,MT22445V.16,READY,,,3,269180
"TC2000x-PTA

Refer to the Special PTA instructions attached under 0h PTA at MT222418.01

Ship to Goh Jia Yi (IFAP FE QM FA PI)",,,FA SIN_PTA,ZA203375BRT,EME G630AY,PG-DSO-8-66,1/30/2023 12:00:00 AM,SPLIT,TC,G2017,Q22CZQ010_KBL974,Innovation Project DA solution CAR 1:5,DSO_PD,Ching Zai Qin (IFAP BE TS QM RQ 1),2023-01,PTA,No,MT222418.13,READY,30µm,Cu,3,263899
"HTS1000h Q006 IPI,
pls fill in excel file for ball pull, shear & wedge pull same as  0hr IPI SI224116.02 attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,D_617210,EME G750 SE,PG-LFBGA-516-10,1/30/2023 12:00:00 AM,SPLIT,HTSL,M3990,C40 TC39xB M3990B LFBGA516-10 3rd Source Substrate ZDT GCM Qual - HH,NER_2021/22_01606 ,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2023-01,IPI-Q006,No,SI224116.04,APPLY,20µm,CU-4N 20µM PD-COATED,3,276208
0h-PTA,,,FA SIN_PTA,D_588661,EME G750 SE,PG-LFBGA-516-11,1/30/2023 12:00:00 AM,,REF,M3990,C40_TC39x_M3990B_LFBGA516-10_ATC_MM,ALP_A2G_C40_BGA516_ATC ,PT_OSA,Chua Su Ya (IFAP BE TS QM RQ 3),2023-01,PTA,No,SI224714.01,PRELIM,,CU-4N 20µM PD-COATED,3,265752
,,,FA SIN_PTA,D_609133,EME G700 LTD,PG-IQFN-39-19,1/30/2023 12:00:00 AM,SPLIT,TC,U1730,Q22NJW019,ALP_Topaz_U1730_PG-IQFN-39-x_UTL1,OSP,Ng Jing Wen (IFAP BE TS QM RQ 2),2023-01,PTA,No,,NEW,,,3,273412
"PTA for HTSL1000hrs LL leg

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour JESD47 FA submission template. 
To use as reference for subsequent same lot stress readout PTA reports.",,,FA SIN_PTA,D_602810,CEL 9240 HF10 AK,PG-DSO-8-92,1/30/2023 12:00:00 AM,SPLIT,HTSL,M1957,Q22TSK71,ALP_NEPTUNE_ M1957_PG-DSO-8-92-LL leg,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-01,PTA,No,MT224518.14,PRELIM,,,3,270987
"HTS1000h Q006 IPI,
pls fill in excel file for ball pull, shear & wedge pull same as  0hr IPI SI224114.02 attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,D_617203,EME G750 SE,PG-LFBGA-516-10,1/30/2023 12:00:00 AM,SPLIT,HTSL,M3990,C40 TC39xB M3990B LFBGA516-10 3rd Source Substrate ZDT GCM Qual - MM,NER_2021/22_01606  ,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2023-01,IPI-Q006,No,SI224114.04,APPLY,20µm,CU-4N 20µM PD-COATED,3,276204
"HTS1000h Q006 IPI,
pls fill in excel file for ball pull, shear & wedge pull same as  0hr IPI SI224115.02  attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,D_617207,EME G750 SE,PG-LFBGA-516-10,1/30/2023 12:00:00 AM,SPLIT,HTSL,M3990,C40 TC39xB M3990B LFBGA516-10 3rd Source Substrate ZDT GCM Qual - LL,NER_2021/22_01606 ,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2023-01,IPI-Q006,No,SI224115.04,APPLY,20µm,CU-4N 20µM PD-COATED,3,276207
"Hast528h- Q006 PTA

Please ship to Dan Swee Tong (IFAP FE QM FA PI)

EVI, X-ray, CSAM - 11 units. 
IVI Decap - 4 units.
Ball Pull - 4 units 
Ball Shear - 4 units
Stitch Pull - 4 units
Ball bond cross-sec - 1 unit
Stitch cross-sec - 1 unit from CSAM. 

ODR Ball diameter:
Please separate the raw data of the ground bond from the other wires.",,,FA SIN_PTA,1E234573B03,G700LS,PG-DSO-8-62,1/30/2023 12:00:00 AM,SPLIT,HAST_264,S2710,Q22SY013_ATI353,AFP_S2710A_DOPL_Transfer_DSO8_ATP1,OSP,Chua Su Ya (IFAP BE TS QM RQ 3),2023-01,PTA-Q006,No,MT22445W.13,READY,,,3,269241
"HTS1000h Q006 IPI,
pls fill in excel file for ball pull, shear & wedge pull same as  0hr IPI  SI224112.02 attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,84PRT223H01 [LL],EME G750 SE,PG-BGA-416-29,1/30/2023 12:00:00 AM,SPLIT,HTSL,M4289,C65 TC29x M4289Z BGA416-29 3rd Source Substrate ZDT GCM Qual - LL,NER_2021/22_01606,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2023-01,IPI-Q006,No,SI224112.04,APPLY,20µm,CU-4N 20µM PD-COATED,3,276191
"0hr_PTA

Please ship units to Phyu Ma Win Le (IFAP FE QM FA PI) <MaWinLe.Phyu@infineon.com>
Contact: +65  6840 0926
Address: 168 Kallang Way, Singapore 349253

Refer to attached PTA instruction in ______________
Ball bond diameter: 55.835um (for ball shear calculation) 

Please keep the worst delam or mold abnormally unit for further analysis
Please provide the estimation for measurement if delam or mold abnormally observed. ",,,FA SIN_PTA,D_561691,EME G700 LTD,PG-VSON-16-1,1/30/2023 12:00:00 AM,,REF,M3703,Q21PWL09_AQM116,ALP_ QTOLL_M3703_PG-VSON-16-xx_UTL3,OSP,Tan Chor Hui Michelle (IFAP BE TS QM RQ 2),2023-01,PTA,No,MT220913.01,PRELIM,20µm,AuPdCu,3,255913
"Q006: PTA_FULL after 1x (HTS500h), 30 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 

** Take note -  Mold compound is high Tg G720AH

Refer to attachment for Q006-PTA  instruction in ___

Refer to attachment ""FA Submission for JESD47 Ball Shear (___)"" to provide Ball Shear/Area

PDR ball bond diameter for ___: 
Red M5163 C11HV-CTR ball - ___ um
Blue stitch on bump (C11HV chip) - ___ um
Yellow M5563 C11HV ball - ___ um
Green ball (Ag plating) - ___ um",,,FA SIN_PTA,ZA227459B03,MC_EME G720 AH,PG-DSO-16-36,1/30/2023 12:00:00 AM,SPLIT,HTSL,U5151,Q22AW215_CYL191,2EDi-V2 Q006 Qualification - HH,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2023-01,PTA-Q006,No,MT23011N.17,PRELIM,30µm,BW_Cu_5N_30_µm,1,275934
"PTA for HTSL1000hrs HH leg

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour JESD47 FA submission template. 
To use as reference for subsequent same lot stress readout PTA reports.",,,FA SIN_PTA,D_602811,CEL 9240 HF10 AK,PG-DSO-8-92,1/30/2023 12:00:00 AM,SPLIT,HTSL,M1957,Q22TSK72,ALP_NEPTUNE_ M1957_PG-DSO-8-92-HH leg,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-01,PTA,No,MT224519.14,PRELIM,,,3,270988
"MSL3_HH_PTA

Please ship units to Dan Swee Tong (IFAP FE QM FA PI) <SweeTong.Dan@infineon.com>
Contact: +65 68664504
Address: 168 Kallang Way, Singapore 349253

Refer to attached PTA instruction in 
Ball bond diameter: Pending
MC:AMKMC31, DA:AB8290, PCC:25um
ASM, PPF with two sided roughening

Pls keep the worst delam or mold abnormally unit for further analysis
Pls provide the estimation for measurement if delam or mold abnormally observed. ",,,FA SIN_PTA,D_589028,N/A,PG-TSSOP-16-11,1/31/2023 12:00:00 AM,SPLIT,PC,M3891,Q22PWL006_KBL821,ATR_M3892_Lorentz_TSSOP16_G0_ATP1_HH,OSA,Pan Wenli (IFAP BE TS QM RQ 3),2023-01,PTA,No,VQ223714.03,PRELIM,25µm,N/A,3,265854
,,,FA-SIN,6Q152007H01,MC_EME G750 SE,PG-LFBGA-180-1,1/31/2023 12:00:00 AM,END,PTC,M3995,C40_Fab1_TC356L_ADAS_Q100-006_Lot1,C40FLA Fab1 enabling,58,Lebedev Dmitri (IFAG ATV QM MC P58),2023-01,IPI-Q006,No,SI221911.18,READY,20µm,BW_Pd/Cu_4N_20_µm,3,262448
"PC Q006 -HH

To be shipped to FA SIN, attention to Goh Jia Yi  (IFAP FE QM FA PI) +65  6840 0556",,,FA SIN_PTA,D_603392,EME G630AY,PG-LDSO-8-1,2/1/2023 12:00:00 AM,SPLIT,PC,U5471,Q22TSK42,LDSO-8-1_Atlas1_300mils Thin_HH_Q006,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-02,PTA-Q006,No,MT230211.03,PRELIM,30µm,Cu-5N,3,271236
PTA: POST H3TRB 2000H,,,FA SIN_PTA,VE125713.06,MC_KMC 2120 G-7A,PG-SOT223-4-21,2/1/2023 12:00:00 AM,SPLIT,H3TRB,L9075,Q22ZY301_LAF019,ALP_SOT223_Auto_TFME,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2023-02,PTA-Q006,No,MT223597.12,READY,42µm,PCC,3,272438
"PC Q006 -LL

To be shipped to FA SIN, attention to Goh Jia Yi  (IFAP FE QM FA PI) +65  6840 0556",,,FA SIN_PTA,D_603391,EME G630AY,PG-LDSO-8-1,2/1/2023 12:00:00 AM,SPLIT,PC,U5471,Q22TSK41,LDSO-8-1_Atlas1_300mils Thin_LL_Q006,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-02,PTA-Q006,No,MT230212.03,PRELIM,30µm,Cu-5N,3,271235
"PC Q006 -MM

To be shipped to FA SIN, attention to Goh Jia Yi  (IFAP FE QM FA PI) +65  6840 0556",,,FA SIN_PTA,D_603373,EME G630AY,PG-LDSO-8-1,2/1/2023 12:00:00 AM,SPLIT,PC,U5471,Q22TSK40,LDSO-8-1_Atlas1_300mils Thin_MM_Q006,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-02,PTA-Q006,No,MT230213.03,PRELIM,30µm,Cu-5N,3,271224
"TC1000 PTA -MM leg (no bake)
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 15 units
Internal Visual Inspection (IVI): Overview: 3 units and Die abnormality: 3 units (pls check if any lifted, cracked or broken die)
SEM - wire integrity: 3 units (pls check if any lifted, cracked or broken wires)
Small diameter wire pull: 3 units 
Large diameter wire pull: 3 units",,,FA SIN_PTA,D_625052,N/A,PG-TO263-9-1,2/1/2023 12:00:00 AM,SPLIT,TC,L8707,Q22ZY500_ATI373,ALP_ eD2PAK _ATV 1200V_ SiC MOS_PG-TO263_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2023-02,PTA,No,,PRELIM,,,3,279051
"HTS1000h Q006 IPI,
pls fill in excel file for ball pull, shear & wedge pull same as  0hr IPI SI224118.02   attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,MM,MC_EME G750 SE,PG-FBGA-516-1,2/2/2023 12:00:00 AM,SPLIT,HTSL,M3991,C40 TC38x M3991A FBGA516-1 3rd Source Substrate ZDT GCM Qual - MM,NER_2021/22_01606,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2023-02,IPI-Q006,No,SI224118.04,PRELIM,20µm,BW_CuPd_4N_20_µm,3,276213
,,,FA-SIN,D_569298,MC_EME G750 SE,PG-LFBGA-292-6,2/2/2023 12:00:00 AM,T_HTOL_1000_R2,HTOL,M4299,Q21_VH04_TC297TA_NewPlattingJXN_BGA292_ATK,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-02,IPI,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,258635
"Q006: PTA_FULL after 1x (HAST264h), 30 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 

** Take note -  Mold compound is high Tg G720AH

Refer to attachment for Q006-PTA  instruction in ___

Refer to attachment ""FA Submission for JESD47 Ball Shear (___)"" to provide Ball Shear/Area

PDR ball bond diameter for ___: 
Red M5163 C11HV-CTR ball - ___ um
Blue stitch on bump (C11HV chip) - ___ um
Yellow M5563 C11HV ball - ___ um
Green ball (Ag plating) - ___ um
",,,FA SIN_PTA,ZA227459B03,MC_EME G720 AH,PG-DSO-16-36,2/2/2023 12:00:00 AM,SPLIT,HAST,U5151,Q22AW215_CYL191,2EDi-V2 Q006 Qualification - HH,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2023-02,PTA-Q006,No,MT23011N.06,PRELIM,30µm,BW_Cu_5N_30_µm,1,275934
"Q006: PTA_FULL after 1x (HAST264h), 30 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 

** Take note -  Mold compound is high Tg G720AH

Refer to attachment for Q006-PTA  instruction in ___

Refer to attachment ""FA Submission for JESD47 Ball Shear (___)"" to provide Ball Shear/Area

PDR ball bond diameter for ___: 
Red M5163 C11HV-CTR ball - ___ um
Blue stitch on bump (C11HV chip) - ___ um
Yellow M5563 C11HV ball - ___ um
Green ball (Ag plating) - ___ um
",,,FA SIN_PTA,ZA227459B02,MC_EME G720 AH,PG-DSO-16-36,2/2/2023 12:00:00 AM,SPLIT,HAST,U5151,Q22AW214_CYL190,2EDi-V2 Q006 Qualification - MM,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2023-02,PTA-Q006,No,MT23011M.06,PRELIM,30µm,BW_Cu_5N_30_µm,1,275933
"Q006: PTA_FULL after 1x (HAST264h), 30 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 

** Take note -  Mold compound is high Tg G720AH

Refer to attachment for Q006-PTA  instruction in ___

Refer to attachment ""FA Submission for JESD47 Ball Shear (___)"" to provide Ball Shear/Area

PDR ball bond diameter for ___: 
Red M5163 C11HV-CTR ball - ___ um
Blue stitch on bump (C11HV chip) - ___ um
Yellow M5563 C11HV ball - ___ um
Green ball (Ag plating) - ___ um
",,,FA SIN_PTA,ZA227459B01_MOB,MC_EME G720 AH,PG-DSO-16-36,2/2/2023 12:00:00 AM,,HAST,U5151,Q22AW213_CYL189,2EDi-V2 Q006 Qualification - LL,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2023-02,PTA-Q006,No,MT23011L.06,PRELIM,30µm,BW_Cu_5N_30_µm,1,275931
"THB2000h IPI, Q006",,,FA-SIN,19924013H16MM,CEL 9240 HF10 AKI2-U,PG-TQFP-144-27,2/2/2023 12:00:00 AM,END,ZZ-SPR,M3994,C40FLA TC36x M3994 PG-TQFP-144-27 New Wire Bond Parameter GCM Qual - MM,NER 2020/21_04474,PQ_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2023-02,IPI-Q006,No,SI212613.08,READY,25µm,PCC_Cu_4N_25_µm,3,242657
"TC1000 PTA -HH leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 15 units
Internal Visual Inspection (IVI): Overview: 3 units and Die abnormality: 3 units (pls check if any lifted, cracked or broken die)
SEM - wire integrity: 3 units (pls check if any lifted, cracked or broken wires)
Small diameter wire pull: 3 units 
Large diameter wire pull: 3 units",,,FA SIN_PTA,D_625060,N/A,PG-TO263-9-1,2/3/2023 12:00:00 AM,SPLIT,TC,L8707,Q22ZY501_ATI374,ALP_ eD2PAK _ATV 1200V_ SiC MOS_PG-TO263_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2023-02,PTA,No,,PRELIM,,,3,279054
"TC1000 PTA -LL leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 15 units
Internal Visual Inspection (IVI): Overview: 3 units and Die abnormality: 3 units (pls check if any lifted, cracked or broken die)
SEM - wire integrity: 3 units (pls check if any lifted, cracked or broken wires)
Small diameter wire pull: 3 units 
Large diameter wire pull: 3 units",,,FA SIN_PTA,D_625061,N/A,PG-TO263-9-1,2/3/2023 12:00:00 AM,SPLIT,TC,L8707,Q22ZY502_ATI375,ALP_ eD2PAK _ATV 1200V_ SiC MOS_PG-TO263_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2023-02,PTA,No,,PRELIM,,,3,279055
"IPI after HTSL 500h
IPI tasks according to attached guideline, package technology qualification, IPI3",,,FA-SIN,D_531729,,PG-F2BGA-436-2,2/3/2023 12:00:00 AM,SPLIT,HTSL,M4749,TC49x_A_Step_F2BGA436_STD_OVM_Qualification_EDR,,58,Thajudin Ahmed Fazir (IFAG ATV QM MC P58),2023-02,IPI,No,,PRELIM,,,3,245284
"TC1000 PTA -MM leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 15 units
Internal Visual Inspection (IVI): Overview: 3 units and Die abnormality: 3 units (pls check if any lifted, cracked or broken die)
SEM - wire integrity: 3 units (pls check if any lifted, cracked or broken wires)
Small diameter wire pull: 3 units 
Large diameter wire pull: 3 units",,,FA SIN_PTA,D_625052,N/A,PG-TO263-9-1,2/3/2023 12:00:00 AM,SPLIT,TC,L8707,Q22ZY500_ATI373,ALP_ eD2PAK _ATV 1200V_ SiC MOS_PG-TO263_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2023-02,PTA,No,,PRELIM,,,3,279051
,,,FA-SIN,D_569240,MC_EME G750 SE,PG-LFBGA-516-5,2/3/2023 12:00:00 AM,T_HTOL_1000_R2,HTOL,M4299,Q21_VH03_TC299TX_NewPlatingJXN_BGA516_ATK,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-02,IPI,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,258607
,,,FA SIN_PTA,D_609133,EME G700 LTD,PG-IQFN-39-19,2/4/2023 12:00:00 AM,SPLIT,HTSL,U1730,Q22NJW019,ALP_Topaz_U1730_PG-IQFN-39-x_UTL1,OSP,Ng Jing Wen (IFAP BE TS QM RQ 2),2023-02,PTA,No,,NEW,,,3,273412
,,,FA SIN_PTA,INMQP0048.1,EME G700 LTD,PG-VQFN-48-81,2/4/2023 12:00:00 AM,SPLIT,HTSL,M5023,Q22NJW004_LAF050,ALP_McKinley_M5023_PG-VQFN-48-81_UTL3 ,OSP,Ng Jing Wen (IFAP BE TS QM RQ 2),2023-02,PTA,No,MT22401D.08,NEW,20µm,Au_2N_0.8mil,3,270539
"TC2000c Q006 Grade 0 (1x)

Please ship units to Ong Si Hui (IFAP FE QM FA PI) <SiHui.Ong@infineon.com>
Contact: +65  6840 0922
Address: Infineon Technologies Asia Pacific Pte. Ltd, 168 Kallang Way (Singapore 349253)

Pls keep the worst delam or mold abnormally unit for further analysis
Pls provide the estimation for measurement if delam or mold abnormally observed. ",,,FA SIN_PTA,6HUK9MPW941,EME G631BQG,PG-VQFN-56-7,2/6/2023 12:00:00 AM,SPLIT,TC,S1043,Q21LHG009_HUL431,Annapura 8x8 Package pro.Cu Qualification MM Lot,OSA,Loh Hai Guan (IFAP BE TS QM RQ 3),2023-02,PTA-Q006,No,MT214415.10,READY,30µm,30um PCC Wire,3,249883
"Reference to product qual result, to be performed in 2023 (TBD)
- to keep for system calculation of lean qual",,,FA SIN_PTA,6HUK9MPWH04_35656 (KIV),EME G631BQG,PG-VQFN-56-7,2/6/2023 12:00:00 AM,,HAST_264,S1043,Q21LHG009_HUL431,Annapura 8x8 Package pro.Cu Qualification MM Lot,OSA,Loh Hai Guan (IFAP BE TS QM RQ 3),2023-02,PTA-Q006,No,MT22455U.38,NEW,30µm,30um PCC Wire,3,249883
"uhast528h IPI
pls fill in excel file for ball pull, shear & wedge pull same as  0hr IPI  SI224117.02  attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,19210053H41,EME G750 SE,PG-LFBGA-292-10,2/6/2023 12:00:00 AM,SPLIT,UHST,M3990,C40 TC39xB M3990B LFBGA292-10 3rd Source Substrate ZDT GCM Qual - MM,NER_2021/22_01606  ,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2023-02,IPI,No,SI224117.10,READY,20µm,CU-4N 20µM PD-COATED,3,276209
,,,FA-SIN,D_569237,MC_EME G750 SE,PG-LFBGA-292-6,2/6/2023 12:00:00 AM,T_HTOL_1000_R2,HTOL,M4287,Q21_VH02_TC277_NewPlatingJXN_BGA292_ATK,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-02,IPI,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,258605
"uhast528h IPI
pls fill in excel file for ball pull, shear & wedge pull same as  0hr IPI SI224119.02 attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,19215035H01,MC_EME G750 SE,PG-LFBGA-292-13,2/6/2023 12:00:00 AM,SPLIT,UHST,M3995,C40 TC35x M3995A LFBGA292-13 3rd Source Substrate ZDT GCM Qual - MM,NER_2021/22_01606 ,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2023-02,IPI,No,SI224119.10,READY,20µm,BW_CuPd_4N_20_µm,3,276216
"TC2000c  Q006 Grade 0_PTA

Please ship units to Ong Si Hui (IFAP FE QM FA PI) <SiHui.Ong@infineon.com>
Contact: +65  6840 0922
Address: Infineon Technologies Asia Pacific Pte. Ltd, 168 Kallang Way (Singapore 349253)

Pls keep the worst delam or mold abnormally unit for further analysis
Pls provide the estimation for measurement if delam or mold abnormally observed. ",,,FA SIN_PTA,6HUK9MPW941,EME G631BQG,PG-VQFN-56-7,2/6/2023 12:00:00 AM,SPLIT,TC,S1043,Q21LHG010_HUL432,Annapura 8x8 Package pro.Cu Qualification LL Lot,OSA,Loh Hai Guan (IFAP BE TS QM RQ 3),2023-02,PTA-Q006,No,MT214416.10,READY,30µm,30um PCC Wire,3,249885
PC2A-Q006 PTA,,,FA SIN_PTA,D_598163,G700LS,PG-DSO-8-62,2/6/2023 12:00:00 AM,SPLIT,PC,S2710,Q22SY014,AFP_S2710A_DOPL_Transfer_DSO8_ATP1,OSP,Chua Su Ya (IFAP BE TS QM RQ 3),2023-02,PTA-Q006,No,MT22445X.02,PRELIM,,,3,269242
"T0_PTA
Please ship units to Bong Wuan Lii Shirley (IFAP FE QM FA PI) <WuanLiiShirley.Bong@infineon.com>
Contact: +65  6840 0719
Address: 168 Kallang Way, Singapore 349253

Refer to attached PTA instruction in 
Ball diameter: um (for ball shear calculation)

Pls keep the worst delam or mold abnormally unit for further analysis
Pls provide the estimation for measurement if delam or mold abnormally observed. ",,,FA SIN_PTA,D_588774,EME G631H,PG-VSON-8-2,2/6/2023 12:00:00 AM,,REF,M4991,Q22PWL004_KBL819,ALP_TLE49012_M4912_SPT10S_VSON-8_ASEKH_IFMY,OSA,Pan Wenli (IFAP BE TS QM RQ 3),2023-02,PTA,No,MT22236U.01,NEW,25µm,2N_Au,3,265789
,,,FA-SIN,D_569306,MC_EME G750 SE,PG-BGA-416-29,2/7/2023 12:00:00 AM,T_SD_3_R3,PC,M4289,Q21_VH05_TC298_NewPlatingJXN_BGA416_ASE,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-02,IPI,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,258637
,,,FA-SIN,D_569410,MC_EME G750 SE,PG-LFBGA-292-10,2/7/2023 12:00:00 AM,T_SD_3_R3,PC,M4299,Q21_VH08_TC297TA_NewPlatingJXN_BGA292_ASE,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-02,IPI,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,258655
,,,FA SIN_PTA,D_620685,EME G700 LTD,PG-VQFN-48-81,2/7/2023 12:00:00 AM,SPLIT,HTSL,M5023,Q22NJW027,ALP_McKinley_M5023_PG-VQFN-48-81_UTL3 ,OSP,Ng Jing Wen (IFAP BE TS QM RQ 2),2023-02,PTA,No,,PRELIM,20µm,Au_2N_0.8mil,3,277656
,,,FA SIN_PTA,D_604176,EME G700 LTD,PG-VQFN-48-81,2/7/2023 12:00:00 AM,SPLIT,HTSL,M5023,Q22NJW006,ALP_McKinley_M5023_PG-VQFN-48-81_UTL3 ,OSP,Ng Jing Wen (IFAP BE TS QM RQ 2),2023-02,PTA,No,,PRELIM,20µm,Au_2N_0.8mil,3,271555
,,,FA SIN_PTA,INMQP0047.1,EME G700 LTD,PG-VQFN-48-81,2/8/2023 12:00:00 AM,SPLIT,HTSL,M5023,Q22NJW005_LAF051,ALP_McKinley_M5023_PG-VQFN-48-81_UTL3 ,OSP,Ng Jing Wen (IFAP BE TS QM RQ 2),2023-02,PTA,No,,NEW,20µm,Au_2N_0.8mil,3,270594
